model,split,train_rmse,test_rmse,train_r2,test_r2,test_bias
Linear Regression,Random 80/20,0.10537079646981098,0.10538575094436034,0.09107458651128864,0.09127965251051506,-0.0003551520816343938
Random Forest,Random 80/20,0.020576836774393828,0.05491990887364858,0.9653386921198706,0.7532108401566013,-0.0004353903322605113
SVM (RBF approx),Random 80/20,0.10041452461747814,0.10038321167475817,0.17456896439717406,0.17550384157923682,-0.0003512990022777137
MLP,Random 80/20,0.07848962169367188,0.07915061057136283,0.4956730312004207,0.4874042485050739,0.005989611807460473
Linear Regression,West->East,0.09253221775416255,0.12485155154725784,0.13967041562936666,-0.031839947924620526,-0.015434139021381075
Random Forest,West->East,0.019109882980215747,0.14244350065851347,0.9633060072958362,-0.34310426026648977,-0.023797179452627975
SVM (RBF approx),West->East,0.09039054062062897,0.12803001711599254,0.17903454554263842,-0.08504576760107518,-0.020166261732368893
MLP,West->East,0.07062601461583798,0.22497497983630152,0.4988031706724626,-2.350370941523367,0.020995633684536177
Linear Regression,Spatial Block CV,0.10481394263193812,0.10615014914888997,0.09798229377951798,-0.09249875540187605,-0.0017955657398781603
Random Forest,Spatial Block CV,0.020144272908441976,0.09070786485934254,0.9666724431088064,0.20004555838842084,0.00552294314553075
SVM (RBF approx),Spatial Block CV,0.09965813030677477,0.10590689990729847,0.18433115370603936,-0.09159922608325331,-0.003545418560603865
MLP,Spatial Block CV,0.07750299721848616,0.09963241783782396,0.5062817027270451,-0.0342769039868216,0.01404851477850408
